Name,M/F/H,Date,Habitat Score,COC
Taloka Creek: N 4430,Fish,8/3/2007,,
Tar Creek: H Street N.E.,Fish,6/30/2014,,8964.0
Tar Creek: H Street N.E.,Fish,8/7/2008,,
Tenmile Creek: Davis,Fish,6/22/2022,,10997.0
Tenmile Creek: Davis,Fish,8/22/2016,,9601.0
Tenmile Creek: Davis,Fish,6/18/2012,,8043.0
Tiger Creek: E. Woods St.,Fish,6/29/2016,,9601.0
Travertine Creek: Central Campground,Fish,8/25/2003,107.0,
Trib to Coody Creek: Robison Park,Fish,8/4/2021,,10776.0
Trib. To N. Canadian River: Chisholm Trail Park,Fish,7/23/2019,,10311.0
Trib. To Twin Hills Creek: S. 71st E. Ave.,Fish,7/30/2013,,8576.0
Turkey Creek,Fish,6/21/2021,,10776.0
Turkey Creek,Fish,8/3/2016,,9601.0
Twin Hills Creek: E 121st St. S.,Fish,8/25/2021,,10777.0
Unnamed Trib to Arkansas River,Fish,6/19/2017,,9613.0
Vensel Creek: 91st Street South,Fish,10/1/1996,,
Wall Trip Branch: Chicken Creek,Fish,7/18/2008,,
Walnut Creek Trib: Rockwell Avenue,Fish,7/7/2010,,
Walnut Creek: Purcell,Fish,8/8/2006,,
Washita River: Black Kettle,Fish,6/23/2009,,
Washita River: Black Kettle,Fish,9/29/2004,,
Washita River: McClure (N 2070),Fish,6/22/2009,,
Washita River: McClure (N 2070),Fish,9/28/2004,,
Washita River: Riverside,Fish,9/28/2005,,
West Cache Creek,Fish,7/14/2023,,11201.0
West Cache Creek,Fish,7/11/2019,,10311.0
West Cache Creek: Boulder Picnic Area,Fish,7/16/2009,,
West Cache Creek: Boulder Picnic Area,Fish,7/14/2009,,
West Cache Creek: Boulder Picnic Area,Fish,9/27/2005,94.0,
West Captain Trib: Harrah Road,Fish,6/22/2006,,
West Elm Creek: S. Douglas,Fish,8/29/2018,,10052.0
West Elm Creek: S. Douglas,Fish,7/15/2015,,9297.0
West Elm Creek: S. Douglas,Fish,7/15/2015,,9297.0
West Elm Creek: S.E. 164th,Fish,7/28/2010,,
West Elm Creek: S.E. 164th,Fish,6/30/2006,,
West Elm Creek: SE 149th,Fish,8/18/2005,82.0,
Wewoka Creek: Lima (N 3610),Fish,8/9/2006,,
Wewoka Creek: Lima (N 3610),Fish,9/1/2004,,
"Whitewater Creek: D4650, Scott",Fish,7/25/2006,,
Whitewater Creek: E 330 Road,Fish,7/24/2006,,
Wildhorse Creek: N 3520 Road,Fish,8/3/2005,48.0,
Wolf Creek: Gore Blvd.,Fish,7/10/2023,,11201.0
Wolf Creek: Gore Blvd.,Fish,7/12/2019,,10311.0
Wolf Creek: Gore Blvd.,Fish,7/28/2016,,9601.0
Wolf Creek: Hwy 46,Fish,6/24/2009,,
Wolf Creek: Hwy 46,Fish,9/13/2005,87.0,
